title,company,location,description,posted_at,source,source_url,scraped_at
Machine Learning Engineer,PT Nomura Research Institute Indonesia,Jakarta Raya,JOB DESCRIPTIONS Design &amp; implement ML/DL solutions and integrate them with various Big Data platforms and architectures. Creating and Maintain...,2022-01-06T04:50:29Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/machine-learning-engineer-3745053,2026-07-19T00:00:00Z
Business Analyst,PT Vanz Inovatif Teknologi,Jakarta Raya,We Are Looking for Business Analyst!Responsibilities- Work closely with the top leader(s) to obtain an in-depth understanding of the product and the...,2022-01-06T04:41:36Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/business-analyst-3745030,2026-07-19T00:00:00Z
Frontend Engineer,"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",Jakarta Utara,Requirements: Candidate must possess at least a Bachelor's Degree in any major At least 2 year(s) of working experience as UI/UX Designer Required...,2022-01-06T04:03:39Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/frontend-engineer-3744900,2026-07-19T00:00:00Z
Backend Engineer,"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",Jakarta Utara,Requirements: Candidate must possess at least a Bachelor's Degree in any major At least 2 year(s) of working experience of making Hybrid Mobile...,2022-01-06T04:02:37Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/backend-engineer-3744896,2026-07-19T00:00:00Z
Senior Fullstack Developer,PT Edrus Edukasi Utama,Tangerang,"Requirements At Least 2 years experience Familiar with Java Script, PHP, or JQuery Familiar with Framework Laravel or CodeIgniter Understanding of MVC...",2022-01-06T03:36:35Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/senior-fullstack-developer-3744814,2026-07-19T00:00:00Z
"Software Engineer, Core Banking",PT Synpulse Indonesia Management Consulting,Jakarta Raya,"You will work with Avaloq Script Language, a proprietary programming language used by Avaloq. The language is based on PL/SQL (same syntax), and has...",2022-01-06T03:05:38Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-core-banking-3744696,2026-07-19T00:00:00Z
"Software Engineer, Full Stack",PT Synpulse Indonesia Management Consulting,Jakarta Raya,"You will be collaborating in a diverse and inclusive team with an entrepreneurial mindset. On missions, you will be part of a squad and pair with your...",2022-01-06T02:56:04Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-full-stack-3744661,2026-07-19T00:00:00Z
Junior Software Engineer,PT Synpulse Indonesia Management Consulting,Jakarta Raya,"Are you excited about transforming the way we bank by using the latest technology? We are too! We are forming a new technology team, adopting the...",2022-01-06T02:47:07Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/junior-software-engineer-3744638,2026-07-19T00:00:00Z
Full Stack Developer,PT. FIA EXPRESS INDONESIA,Jakarta Raya,"Requirements : Minimum experience 3 year PHP (codeigniter &amp; laravel). CSS, HTML5, Javacsript, Ajax, Jquery. MySQL. React JS is a plus point. Job...",2022-01-06T02:45:51Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/full-stack-developer-3744633,2026-07-19T00:00:00Z
Business Analyst,PT Duta Daya Digital,Tangerang,"Crewdible is an Indonesia-based Startup company, focusing on online fulfillment services. Since 2017, Crewdible has provided multi-channel fulfillment...",2022-01-06T02:33:21Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/business-analyst-3744597,2026-07-19T00:00:00Z
Full Stack Developer (ReactJs),PT Reeracoen Indonesia,Jakarta Raya,"FULL STACK DEVELOPER (ReactJs) (MEGA KUNINGAN_JAKARTA)COMPANY CATEGORY :Japanese HR-Tech Service To create an impact on Indonesian society, we need...",2022-01-06T02:19:56Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/full-stack-developer-reactjs-3744546,2026-07-19T00:00:00Z
SOFTWARE ENGINEER (Supervisor),PT Lokatara Bersama Indonesia,Tangerang,"An excellent Software Engineer job has just become available at our esteemed client.With the experience of over 30 years, Our client is the leader in...",2022-01-06T01:44:57Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-supervisor-3744473,2026-07-19T00:00:00Z
